name,objID,ra,dec,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
239,5.88016E+17,22.29195745,0.02309238,23.660805,23.682203,22.256239,21.540552,21.888702
240,5.88016E+17,18.84923029,0.02776767,19.743237,18.411312,17.477589,17.042736,16.76125
241,5.88016E+17,23.53661969,0.02488341,25.232302,24.49469,22.256735,21.198387,20.32938
242,5.88016E+17,23.5363785,0.02578171,25.889713,24.085075,21.633425,21.327751,21.280642
243,5.88016E+17,18.24116269,0.0268199,22.275272,20.357729,18.952686,17.56226,16.807194
244,5.88016E+17,21.48607271,0.02619378,21.675499,20.94182,20.614189,20.426428,20.348833
245,5.88016E+17,10.31342652,0.02508763,22.60527,22.580309,21.969807,21.912977,21.344328
246,5.88016E+17,5.77616115,0.02764024,23.511106,22.723312,21.291426,20.793774,20.174128
247,5.88016E+17,18.27023234,0.02721106,23.105453,22.000324,21.235888,20.688129,20.698599
248,5.88016E+17,21.48607271,0.02619378,21.675499,20.94182,20.614189,20.426428,20.348833
249,5.88016E+17,23.5363785,0.02578171,25.889713,24.085075,21.633425,21.327751,21.280642
250,5.88016E+17,11.24919241,0.02324965,23.34861,22.557987,22.601429,22.064672,21.775105
251,5.88016E+17,23.43999944,0.02817058,24.687189,24.576811,21.991219,21.666,20.473751
252,5.88016E+17,23.5363785,0.02578171,25.889713,24.085075,21.633425,21.327751,21.280642
253,5.88016E+17,14.37661035,0.02536646,24.994884,22.702503,21.978062,21.879375,22.566185
254,5.88016E+17,12.55350402,0.02837408,22.758263,21.53414,21.008993,21.013647,21.012791
255,5.88016E+17,5.77616115,0.02764024,23.511106,22.723312,21.291426,20.793774,20.174128
256,5.88016E+17,14.06506357,0.02763033,23.828415,23.953104,22.124706,21.294535,21.463402
257,5.88016E+17,18.86614586,0.02439717,22.382742,21.656353,20.994099,20.352108,20.108027
258,5.88016E+17,5.77873402,0.02843337,24.27149,23.156752,22.072786,22.169836,21.13674
259,5.88016E+17,5.27230021,0.0261171,25.32081,22.01894,20.9554,20.50429,20.642183
260,5.88016E+17,23.47581354,0.0279685,23.050217,21.245615,19.708742,18.488823,17.813894
261,5.88016E+17,23.47581354,0.0279685,23.050217,21.245615,19.708742,18.488823,17.813894
262,5.88016E+17,5.77616115,0.02764024,23.511106,22.723312,21.291426,20.793774,20.174128
263,5.88016E+17,10.49182684,0.02496132,26.086151,21.513262,20.743004,20.343756,20.382662
264,5.88016E+17,12.36917664,0.02381535,22.626698,22.802158,22.189573,22.148121,21.609106
265,5.88016E+17,13.71730695,0.03056264,23.620117,21.728981,21.054926,20.822287,20.764719
266,5.88016E+17,22.29317988,0.02638345,22.355938,22.988703,22.66972,22.934307,22.287521
267,5.88016E+17,12.55350402,0.02837408,22.758263,21.53414,21.008993,21.013647,21.012791
268,5.88016E+17,8.94055475,0.03228703,24.457882,22.406357,22.076466,21.981981,22.055197
269,5.88016E+17,23.50739165,0.03227905,24.806143,23.16217,23.650513,23.009846,21.969719
270,5.88016E+17,12.54823984,0.03130928,24.457552,22.448687,21.200615,19.740381,18.952345
271,5.88016E+17,18.84923029,0.02776767,19.743237,18.411312,17.477589,17.042736,16.76125
272,5.88016E+17,23.49711756,0.02754232,21.304464,20.600145,20.074913,19.77886,19.597403
273,5.88016E+17,9.06301409,0.02805457,22.225401,22.717789,21.199713,20.760483,21.347496
274,5.88016E+17,9.06301409,0.02805457,22.225401,22.717789,21.199713,20.760483,21.347496
275,5.88016E+17,12.53401214,0.03159849,24.591187,23.020687,21.768456,21.960861,20.659145
276,5.88016E+17,13.72104857,0.02488928,21.665264,21.587744,20.436941,19.329054,19.301353
277,5.88016E+17,9.11743315,0.0314798,23.399561,24.158262,22.102589,23.634623,22.335079
278,5.88016E+17,23.48637317,0.03153998,24.166021,24.333019,22.950377,21.700111,22.130161
279,5.88016E+17,15.28817608,0.03101175,23.649065,22.954506,21.170868,21.09367,19.947142
280,5.88016E+17,5.27561212,0.0305643,22.640877,21.885365,21.13517,20.62426,20.42115
281,5.88016E+17,23.48637317,0.03153998,24.166021,24.333019,22.950377,21.700111,22.130161
282,5.88016E+17,12.54823984,0.03130928,24.457552,22.448687,21.200615,19.740381,18.952345
283,5.88016E+17,21.49192991,0.03384872,23.383373,23.085588,21.522018,19.745445,18.895384
284,5.88016E+17,15.26749218,0.02737566,22.564192,22.824635,23.133314,21.909851,21.895166
285,5.88016E+17,5.77460788,0.03060089,22.58235,22.557755,21.802429,21.194283,21.474131
286,5.88016E+17,23.46594781,0.03327593,27.586193,26.197857,26.632486,26.569506,21.81682
287,5.88016E+17,9.0670148,0.03265517,23.698284,23.897388,22.867533,21.506041,20.968369
288,5.88016E+17,5.76183591,0.03130529,22.530241,20.918278,19.989965,19.583178,19.517891
289,5.88016E+17,10.29975398,0.03395138,25.502516,24.048229,22.163631,22.288902,22.758202
290,5.88016E+17,23.43999944,0.02817058,24.687189,24.576811,21.991219,21.666,20.473751
291,5.88016E+17,9.1370253,0.02970951,23.398001,23.401972,21.864248,22.623636,23.547794
292,5.88016E+17,10.30966304,0.03087046,21.561693,19.957495,18.554289,17.960768,17.502907
293,5.88016E+17,10.29975398,0.03395138,25.502516,24.048229,22.163631,22.288902,22.758202
294,5.88016E+17,23.43999944,0.02817058,24.687189,24.576811,21.991219,21.666,20.473751
295,5.88016E+17,10.30966304,0.03087046,21.561693,19.957495,18.554289,17.960768,17.502907
296,5.88016E+17,9.02978032,0.03502287,23.265909,22.983549,22.776354,21.701208,21.40188
297,5.88016E+17,5.26933853,0.03537496,23.694628,22.727564,22.96484,22.742523,22.375751
298,5.88016E+17,9.1370253,0.02970951,23.398001,23.401972,21.864248,22.623636,23.547794
299,5.88016E+17,10.4859809,0.03795488,25.213978,22.05171,21.163868,20.630119,20.83589
300,5.88016E+17,9.1370253,0.02970951,23.398001,23.401972,21.864248,22.623636,23.547794
301,5.88016E+17,22.21917153,0.03411703,24.968594,21.78739,20.425888,19.796986,19.414322
303,5.88016E+17,5.76879868,0.02825619,21.896111,20.671637,19.733957,19.373995,18.936443
304,5.88016E+17,23.49310842,0.03505791,23.046501,24.836668,22.293497,21.516499,21.248343
305,5.88016E+17,23.52183664,0.03198419,23.390516,23.053747,21.772198,20.967993,20.297855
306,5.88016E+17,22.28643165,0.03619291,24.137638,24.057936,22.326775,21.870325,21.634993
307,5.88016E+17,22.28643165,0.03619291,24.137638,24.057936,22.326775,21.870325,21.634993
308,5.88016E+17,9.1370253,0.02970951,23.398001,23.401972,21.864248,22.623636,23.547794
309,5.88016E+17,18.25913325,0.03234599,23.482588,22.606556,22.236862,22.011217,22.140598
310,5.88016E+17,23.10070754,0.03072713,22.349218,23.216766,21.735323,21.47242,20.578671
311,5.88016E+17,23.49310842,0.03505791,23.046501,24.836668,22.293497,21.516499,21.248343
312,5.88016E+17,23.52626761,0.03381487,25.527876,23.022129,23.022276,24.139719,21.963303
313,5.88016E+17,5.26442177,0.03122135,25.455898,22.256662,22.864004,22.513918,23.399797
314,5.88016E+17,5.76879868,0.02825619,21.896111,20.671637,19.733957,19.373995,18.936443
315,5.88016E+17,18.24913443,0.03164497,22.028507,19.830982,18.654144,18.095194,17.659605
316,5.88016E+17,5.76879868,0.02825619,21.896111,20.671637,19.733957,19.373995,18.936443
317,5.88016E+17,14.57593206,0.03481234,23.571835,23.640934,22.748531,21.377142,21.610622
318,5.88016E+17,12.54823984,0.03130928,24.457552,22.448687,21.200615,19.740381,18.952345
319,5.88016E+17,5.76879868,0.02825619,21.896111,20.671637,19.733957,19.373995,18.936443
320,5.88016E+17,5.26442177,0.03122135,25.455898,22.256662,22.864004,22.513918,23.399797
321,5.88016E+17,5.76879868,0.02825619,21.896111,20.671637,19.733957,19.373995,18.936443
322,5.88016E+17,18.27133997,0.03561643,22.814259,22.63505,21.779352,21.302845,21.421576
323,5.88016E+17,18.86252753,0.02969713,22.97365,22.775648,23.101841,22.315645,22.961418
324,5.88016E+17,14.57593206,0.03481234,23.571835,23.640934,22.748531,21.377142,21.610622
325,5.88016E+17,8.93186097,0.0304679,21.587748,26.451483,25.734282,24.927244,23.956697
326,5.88016E+17,22.32337465,0.03515852,22.120592,24.814854,24.78367,24.409456,23.74078
